首次发布时间,update_date,标准品牌,标准车系,车源发布状态,标价
2017/9/19,2017/9/25,宝马,宝马5系,3,38.8
2017/9/7,2017/9/25,宝马,宝马5系,3,38.28
2017/9/5,2017/9/25,宝马,宝马5系,3,22.9
2017/9/4,2017/9/25,宝马,宝马5系,3,38.98
2017/9/4,2017/9/25,宝马,宝马5系,3,22.8
2017/9/11,2017/9/25,宝马,宝马5系,3,23.8
2017/9/6,2017/9/25,宝马,宝马5系GT,3,47.8
2017/9/11,2017/9/25,宝马,宝马5系(进口),3,37.8
2017/9/4,2017/9/25,宝马,宝马5系,3,24
2017/9/12,2017/9/25,宝马,宝马5系,3,26.8
2017/9/7,2017/9/25,宝马,宝马5系(进口),3,38.8
2017/9/4,2017/9/25,宝马,宝马5系,3,23.5
2017/9/9,2017/9/25,宝马,宝马5系,3,32.8
2017/9/5,2017/9/25,宝马,宝马5系GT,3,33.5
2017/9/12,2017/9/25,宝马,宝马5系,3,26.8
2017/9/7,2017/9/25,宝马,宝马5系,3,33.5
2017/9/12,2017/9/25,宝马,宝马5系,3,30.5
2017/9/12,2017/9/25,宝马,宝马5系,3,30.5
2017/9/15,2017/9/25,宝马,宝马5系,3,29.8
2017/9/15,2017/9/25,宝马,宝马5系,3,37.99
2017/9/15,2017/9/25,宝马,宝马5系,3,8.9
2017/9/14,2017/9/25,宝马,宝马5系,3,39.28
2017/9/19,2017/9/25,宝马,宝马5系(进口),3,33.68
2017/9/15,2017/9/25,宝马,宝马5系,3,42.5
2017/9/18,2017/9/25,宝马,宝马5系,3,22.5
2017/9/17,2017/9/25,宝马,宝马5系,3,11.68
2017/9/25,2017/9/25,宝马,宝马5系,3,38.8
2017/9/18,2017/9/25,宝马,宝马5系,3,30.8
2017/9/20,2017/9/25,宝马,宝马5系,3,33
2017/9/25,2017/9/25,宝马,宝马5系,3,34
2017/9/25,2017/9/25,宝马,宝马5系,3,31
2017/9/25,2017/9/25,宝马,宝马5系,3,26
2017/9/24,2017/9/25,宝马,宝马5系,3,28.8
2017/9/22,2017/9/25,宝马,宝马5系,3,35.5
2017/9/24,2017/9/25,宝马,宝马5系,3,27.59
