城市,首次发布时间,标准品牌,标准车系,站点,成份车商名,来源,天眼属性
佛山,2017/6/30 13:35,别克,凯越,淘车,看车网（佛山）,看车网,2
福州,2017/6/30 13:32,别克,凯越,273,,,
武汉,2017/6/30 13:29,别克,凯越,百姓,,,
福州,2017/6/30 13:24,别克,凯越,273,,,
上海,2017/6/30 13:14,别克,凯越,看车网,,,
新乡,2017/6/30 13:13,别克,凯越HRV,百姓,,,
太原,2017/6/30 13:10,别克,凯越,淘车,,,
合肥,2017/6/30 13:10,别克,凯越,搜狐,,,
海门,2017/6/30 13:09,别克,凯越,百姓,,,
泉州,2017/6/30 13:04,别克,凯越,二手车之家,,,
南京,2017/6/30 13:03,别克,凯越,二手车之家,,,
苏州,2017/6/30 13:03,别克,凯越,百姓,,,
常德,2017/6/30 13:02,别克,凯越,华夏二手车,,,
福州,2017/6/30 12:54,别克,凯越,百姓,,,
北京,2017/6/30 12:52,别克,凯越,淘车,,,
佛山,2017/6/30 12:50,别克,凯越,二手车之家,,,
漳州,2017/6/30 12:47,别克,凯越,米车,,,
常州,2017/6/30 12:40,别克,凯越,淘车,,,
郑州,2017/6/30 12:31,别克,凯越,淘车,,,
郑州,2017/6/30 12:29,别克,凯越,淘车,看车网（郑州）,看车网,2
惠州,2017/6/30 12:24,别克,凯越,淘车,,,
苏州,2017/6/30 12:23,别克,凯越,人人车,人人车（苏州）,人人车网,2
济宁,2017/6/30 12:22,别克,凯越,二手车之家,,,
重庆,2017/6/30 12:18,别克,凯越,二手车之家,,,
锦州,2017/6/30 12:17,别克,凯越,百姓,,,
宝鸡,2017/6/30 12:13,别克,凯越,百姓,,,
漳州,2017/6/30 12:11,别克,凯越,273,,,
定州,2017/6/30 12:06,别克,凯越HRV,百姓,,,
厦门,2017/6/30 12:05,别克,凯越,淘车,,,
厦门,2017/6/30 12:04,别克,凯越,二手车之家,,,
昆明,2017/6/30 12:00,别克,凯越HRV,淘车,,,
东莞,2017/6/30 11:58,别克,凯越,淘车,看车网（东莞）,看车网,2
沈阳,2017/6/30 11:57,别克,凯越,淘车,,,
西安,2017/6/30 11:57,别克,凯越,淘车,人人车（西安）,人人车网,2
宁波,2017/6/30 11:55,别克,凯越,淘车,,,
淮安,2017/6/30 11:54,别克,凯越,淘车,淮安百达二手车,网络媒体,3
辽阳,2017/6/30 11:54,别克,凯越HRV,百姓,,,
北京,2017/6/30 11:53,别克,凯越,人人车,人人车（北京）,人人车网,2
沈阳,2017/6/30 11:51,别克,凯越,淘车,,,
漳州,2017/6/30 11:50,别克,凯越,273,,,
聊城,2017/6/30 11:50,别克,凯越,百姓,,,
冠县,2017/6/30 11:50,别克,凯越,百姓,,,
福州,2017/6/30 11:48,别克,凯越,大搜车,,,
南平,2017/6/30 11:46,别克,凯越,华夏二手车,,,
咸阳,2017/6/30 11:46,别克,凯越,百姓,,,
沈阳,2017/6/30 11:45,别克,凯越,淘车,看车网（沈阳）,看车网,2
襄阳,2017/6/30 11:45,别克,凯越,二手车之家,,,
榆林,2017/6/30 11:43,别克,凯越,二手车之家,,,
郑州,2017/6/30 11:43,别克,凯越,淘车,,,
苏州,2017/6/30 11:38,别克,凯越,人人车,人人车（苏州）,人人车网,2
绵阳,2017/6/30 11:34,别克,凯越,看车网,,,
佛山,2017/6/30 11:33,别克,凯越,淘车,人人车（佛山）,人人车网,2
烟台,2017/6/30 11:30,别克,凯越HRV,百姓,,,
宝鸡,2017/6/30 11:29,别克,凯越,二手车之家,,,
天津,2017/6/30 11:28,别克,凯越HRV,百姓,,,
鹤岗,2017/6/30 11:26,别克,凯越,百姓,,,
北京,2017/6/30 11:25,别克,凯越,搜狐,,,
合肥,2017/6/30 11:24,别克,凯越,二手车之家,,,
盐城,2017/6/30 11:24,别克,凯越,百姓,,,
上海,2017/6/30 11:23,别克,凯越,搜狐,,,
南京,2017/6/30 11:23,别克,凯越,华夏二手车,,,
泉州,2017/6/30 11:22,别克,凯越,273,,,
广州,2017/6/30 11:22,别克,凯越,搜狐,,,
上海,2017/6/30 11:21,别克,凯越,百姓,,,
丽水,2017/6/30 11:20,别克,凯越HRV,百姓,,,
济宁,2017/6/30 11:19,别克,凯越,搜狐,,,
北京,2017/6/30 11:19,别克,凯越HRV,百姓,,,
常州,2017/6/30 11:18,别克,凯越,百姓,,,
长沙,2017/6/30 11:15,别克,凯越,淘车,,,
绍兴,2017/6/30 11:15,别克,凯越,二手车之家,,,
海门,2017/6/30 11:15,别克,凯越,百姓,,,
沈阳,2017/6/30 11:15,别克,凯越,百姓,,,
苏州,2017/6/30 11:14,别克,凯越,百姓,,,
上海,2017/6/30 11:11,别克,凯越,百姓,,,
上海,2017/6/30 11:10,别克,凯越,看车网,,,
漳州,2017/6/30 11:07,别克,凯越,273,,,
盐都,2017/6/30 11:07,别克,凯越,百姓,,,
惠州,2017/6/30 11:05,别克,凯越,淘车,,,
厦门,2017/6/30 11:04,别克,凯越,淘车,,,
济南,2017/6/30 11:03,别克,凯越,百姓,,,
苏州,2017/6/30 11:02,别克,凯越,大搜车,,,
漳州,2017/6/30 11:00,别克,凯越,273,,,
重庆,2017/6/30 11:00,别克,凯越,273,,,
沈阳,2017/6/30 11:00,别克,凯越,淘车,,,
合肥,2017/6/30 10:59,别克,凯越,搜狐,,,
泉州,2017/6/30 10:59,别克,凯越,上海通用,泉州通海汽车销售服务有限公司,上汽通用别克,3
贵阳,2017/6/30 10:59,别克,凯越,人人车,人人车（贵阳）,人人车网,2
温州,2017/6/30 10:58,别克,凯越,淘车,温州市长久汽车服务有限公司,网络媒体,3
福州,2017/6/30 10:57,别克,凯越,淘车,,,
石狮,2017/6/30 10:57,别克,凯越,百姓,,,
西安,2017/6/30 10:55,别克,凯越,二手车之家,西安车管家,网络媒体,3
上海,2017/6/30 10:53,别克,凯越,百姓,,,
福州,2017/6/30 10:52,别克,凯越,273,,,
福州,2017/6/30 10:52,别克,凯越,淘车,,,
娄底,2017/6/30 10:52,别克,凯越,百姓,,,
冷水江,2017/6/30 10:52,别克,凯越,百姓,,,
泉州,2017/6/30 10:51,别克,凯越,淘车,,,
商河,2017/6/30 10:51,别克,凯越,百姓,,,
济南,2017/6/30 10:51,别克,凯越,百姓,看车网（济南）,看车网,2
宁波,2017/6/30 10:50,别克,凯越,搜狐,,,
南宁,2017/6/30 10:50,别克,凯越,二手车之家,,,
重庆,2017/6/30 10:47,别克,凯越,淘车,,,
衢州,2017/6/30 10:46,别克,凯越,华夏二手车,,,
宁波,2017/6/30 10:46,别克,凯越,淘车,,,
柳州,2017/6/30 10:45,别克,凯越,273,,,
